iter	Logloss
0	0.6819720353
1	0.6711353733
2	0.6608645354
3	0.6509318766
4	0.6413560532
5	0.6321335365
6	0.6233253476
7	0.6147316282
8	0.6063618421
9	0.5985722614
10	0.5908958563
11	0.5834253937
12	0.5762943933
13	0.5693725265
14	0.5626868704
15	0.5561802046
16	0.5499488281
17	0.5438466877
18	0.5380014077
19	0.5323957949
20	0.526638607
21	0.5212517058
22	0.5162120369
23	0.5112749118
24	0.5064995812
25	0.5017454794
26	0.4971795326
27	0.4925852279
28	0.4881028717
29	0.4839578653
30	0.4799099969
31	0.4759193016
32	0.4720490197
33	0.4682042896
34	0.4646455926
35	0.4610790416
36	0.4575196318
37	0.4540335284
38	0.4507628471
39	0.4475414919
40	0.4444772489
41	0.4413393142
42	0.4384012087
43	0.4355795347
44	0.432798019
45	0.4301460636
46	0.4273811406
47	0.424636195
48	0.4219558767
49	0.419336076
50	0.416753441
51	0.4142267991
52	0.4119454472
53	0.4096694808
54	0.4075300056
55	0.4051933365
56	0.403171617
57	0.4011406034
58	0.3990734603
59	0.3972059202
60	0.3952370678
61	0.3932682444
62	0.3914972652
63	0.3896590236
64	0.3877860905
65	0.3860245422
66	0.3842576061
67	0.3824908691
68	0.3809888105
69	0.3794190504
70	0.3779545442
71	0.3762866394
72	0.3744984926
73	0.372956784
74	0.3715741877
75	0.3701020161
76	0.36867558
77	0.3674026325
78	0.3658443367
79	0.3647410433
80	0.3634404738
81	0.3621086214
82	0.3608932696
83	0.359630187
84	0.358350654
85	0.3572832865
86	0.3561942831
87	0.3547608875
88	0.3536081777
89	0.352556934
90	0.351501549
91	0.350546971
92	0.3494874155
93	0.3480094307
94	0.3471380247
95	0.3462366981
96	0.3451426736
97	0.344128749
98	0.3431074991
99	0.342180514
100	0.3412476974
101	0.3401260073
102	0.3393337531
103	0.3385944238
104	0.3377501755
105	0.336895814
106	0.335895532
107	0.3350947326
108	0.3343093914
109	0.3334414983
110	0.332422665
111	0.3313511765
112	0.3304096199
113	0.329464797
114	0.328457774
115	0.3275996593
116	0.3265457084
117	0.3257312437
118	0.3247913346
119	0.3242028071
120	0.3234003227
121	0.32264242
122	0.3219784195
123	0.3211128592
124	0.320281823
125	0.3197232297
126	0.3189064362
127	0.3180954924
128	0.3172990645
129	0.3165473318
130	0.315750942
131	0.3152425311
132	0.3143297624
133	0.3137151615
134	0.3131372886
135	0.3124132227
136	0.3116776036
137	0.310871283
138	0.3102834287
139	0.3095827271
140	0.3089745603
141	0.3085364773
142	0.3078489686
143	0.3071624409
144	0.3066098009
145	0.3060747725
146	0.3054263193
147	0.3048113797
148	0.30378418
149	0.3032341026
150	0.3025956967
151	0.3019173547
152	0.3013788612
153	0.3002776961
154	0.2992979612
155	0.2987884075
156	0.2980371719
157	0.2975744541
158	0.2971890567
159	0.2964386378
160	0.2959216786
161	0.2953039151
162	0.2949215623
163	0.2944744147
164	0.2939135088
165	0.2933136548
166	0.2927420162
167	0.2921357524
168	0.2916339695
169	0.2911943827
170	0.2905822781
171	0.290135126
172	0.2895825068
173	0.289189316
174	0.2886704911
175	0.2881951423
176	0.2875028261
177	0.2869745141
178	0.2860849469
179	0.2856286576
180	0.2851950798
181	0.284751951
182	0.2843073419
183	0.2837520416
184	0.2831958029
185	0.2825599539
186	0.282188362
