Model,Accuracy,F1-Score,ROC-AUC
RF Simple,0.9783616692426584,0.9783616692426584,0.9981563421828908
RF Tuned,0.9783616692426584,0.9783616692426584,0.9981563421828908
MLP Simple,0.8686244204018547,0.8668268128418337,0.9664789487798338
MLP Tuned,0.9057187017001546,0.905589274301145,0.9673696509979695
